round,global_acc,ASR
1,0.0833,0.7556666666666667
2,0.1,1.0
3,0.1,1.0
4,0.1,1.0
5,0.1,1.0
6,0.1,1.0
7,0.1,1.0
8,0.1,1.0
9,0.1,1.0
10,0.1,1.0
11,0.1025,0.9937777777777778
12,0.1002,0.9996666666666667
13,0.1029,0.9933333333333333
14,0.1201,0.953
15,0.131,0.923
16,0.1371,0.9068888888888889
17,0.1406,0.8961111111111111
18,0.1622,0.8148888888888889
19,0.2068,0.6247777777777778
20,0.1864,0.7677777777777778
