round,global_acc,ASR
1,0.0872,0.00044444444444444447
2,0.0995,0.987
3,0.1,0.9998888888888889
4,0.1,1.0
5,0.1,1.0
6,0.1,1.0
7,0.1,1.0
8,0.1,0.9997777777777778
9,0.1001,0.9993333333333333
10,0.119,0.94
11,0.1092,0.9787777777777777
12,0.1067,0.9814444444444445
13,0.1128,0.9614444444444444
14,0.1114,0.9646666666666667
15,0.1506,0.813
16,0.166,0.786
17,0.1463,0.8347777777777777
18,0.1338,0.8993333333333333
19,0.1801,0.745
20,0.1344,0.9022222222222223
